policy,reward
1,-41.19999999999992
1,-61.599999999999845
1,-79.50000000000004
1,-21.09999999999999
1,-138.00000000000085
1,-162.8000000000012
1,-39.59999999999992
1,-24.199999999999978
1,-20.79999999999999
1,-98.70000000000032
1,-96.60000000000029
1,-41.89999999999991
1,-38.19999999999993
1,-40.199999999999925
1,-36.89999999999994
1,-58.49999999999986
1,-78.80000000000005
1,-37.899999999999935
1,-79.70000000000006
1,-17.8
1,-35.79999999999994
1,-20.699999999999992
1,-37.89999999999993
1,-98.80000000000032
1,-21.09999999999999
1,-39.69999999999993
1,-53.99999999999987
1,-18.7
1,-115.40000000000056
1,-38.59999999999993
1,-69.89999999999992
1,-17.900000000000002
1,-38.09999999999993
1,-58.49999999999986
1,-100.30000000000034
1,-41.79999999999992
1,-40.09999999999992
1,-20.199999999999992
1,-35.29999999999994
1,-55.199999999999875
1,-79.90000000000005
1,-18.4
1,-59.99999999999986
1,-20.699999999999992
1,-17.700000000000003
1,-19.599999999999994
1,-120.70000000000064
1,-19.999999999999993
1,-38.29999999999993
1,-20.59999999999999
1,-101.40000000000038
1,-19.599999999999994
1,-40.49999999999992
1,-18.799999999999997
1,-21.899999999999988
1,-80.50000000000006
1,-21.19999999999999
1,-39.99999999999993
1,-18.7
1,-41.99999999999992
1,-19.499999999999996
1,-19.199999999999996
1,-19.199999999999996
1,-40.09999999999992
1,-20.199999999999992
1,-60.39999999999985
1,-41.89999999999992
1,-38.19999999999993
1,-99.40000000000035
1,-20.39999999999999
1,-40.89999999999992
1,-21.399999999999988
1,-119.0000000000006
1,-58.09999999999986
1,-58.399999999999864
1,-81.20000000000007
1,-38.39999999999993
1,-40.69999999999992
1,-19.299999999999997
1,-57.99999999999986
1,-59.299999999999855
1,-40.49999999999992
1,-20.299999999999994
1,-17.6
1,-41.39999999999992
1,-44.399999999999906
1,-77.00000000000003
1,-18.3
1,-18.0
1,-64.09999999999984
1,-57.499999999999865
1,-60.09999999999986
1,-99.50000000000034
1,-58.49999999999986
1,-39.49999999999993
1,-80.80000000000007
1,-20.699999999999992
1,-19.499999999999996
1,-17.200000000000003
1,-60.59999999999985
1,-21.999999999999986
1,-17.900000000000002
1,-20.89999999999999
1,-41.49999999999992
1,-80.20000000000006
1,-17.500000000000004
1,-106.10000000000042
1,-61.79999999999985
1,-99.00000000000034
1,-53.49999999999987
1,-18.799999999999997
1,-64.29999999999984
1,-20.499999999999993
1,-183.5000000000015
1,-36.999999999999936
1,-21.09999999999999
1,-37.09999999999994
1,-41.89999999999992
1,-20.39999999999999
1,-38.49999999999993
1,-41.09999999999992
1,-60.59999999999986
1,-20.79999999999999
1,-58.99999999999986
1,-20.499999999999993
1,-78.60000000000005
1,-17.200000000000003
1,-39.89999999999992
1,-119.40000000000062
1,-38.19999999999993
1,-19.199999999999996
1,-20.499999999999993
1,-57.29999999999986
1,-158.20000000000118
1,-59.299999999999855
1,-19.699999999999996
1,-20.79999999999999
1,-57.99999999999986
1,-41.299999999999926
1,-19.499999999999996
1,-62.89999999999985
1,-60.199999999999854
