policy,reward
1,-39.39999999999993
1,-59.299999999999855
1,-200.30000000000177
1,-116.60000000000056
1,-57.399999999999864
1,-87.50000000000017
1,-33.599999999999945
1,-60.39999999999985
1,-17.100000000000005
1,-120.20000000000063
1,-37.99999999999993
1,-40.89999999999992
1,-58.99999999999986
1,-79.20000000000005
1,-79.40000000000006
1,-36.79999999999993
1,-81.30000000000008
1,-21.599999999999987
1,-94.50000000000027
1,-38.59999999999993
1,-135.90000000000086
1,-38.19999999999993
1,-99.70000000000034
1,-18.3
1,-120.50000000000064
1,-61.69999999999985
1,-61.79999999999985
1,-78.40000000000003
1,-40.199999999999925
1,-137.20000000000084
1,-121.50000000000064
1,-35.39999999999994
1,-40.09999999999992
1,-38.19999999999993
1,-37.29999999999994
1,-20.39999999999999
1,-42.89999999999991
1,-17.300000000000004
1,-20.299999999999994
1,-57.399999999999864
1,-16.900000000000006
1,-20.099999999999994
1,-101.80000000000037
1,-78.20000000000005
1,-21.09999999999999
1,-17.000000000000004
1,-17.300000000000004
1,-57.599999999999866
1,-257.4000000000025
1,-38.89999999999993
1,-18.1
1,-36.29999999999994
1,-121.00000000000065
1,-50.09999999999989
1,-136.50000000000082
1,-43.599999999999916
1,-17.000000000000004
1,-79.40000000000005
1,-120.00000000000064
1,-40.89999999999993
1,-59.29999999999986
1,-18.999999999999996
1,-18.5
1,-20.39999999999999
1,-58.39999999999986
1,-39.59999999999992
1,-36.69999999999993
1,-86.60000000000015
1,-78.00000000000003
1,-79.50000000000006
1,-62.19999999999985
1,-40.39999999999992
1,-20.099999999999994
1,-19.699999999999996
1,-38.29999999999993
1,-40.59999999999992
1,-141.70000000000093
1,-79.20000000000005
1,-80.00000000000007
1,-18.999999999999996
1,-120.80000000000064
1,-59.29999999999986
1,-18.9
1,-57.099999999999866
1,-22.599999999999984
1,-102.50000000000037
1,-19.799999999999994
1,-19.399999999999995
1,-39.799999999999926
1,-57.69999999999986
1,-37.79999999999993
1,-30.499999999999957
1,-38.99999999999993
1,-81.30000000000008
1,-39.19999999999993
1,-38.699999999999925
1,-20.79999999999999
1,-40.09999999999992
1,-20.59999999999999
1,-83.7000000000001
1,-36.69999999999993
1,-19.699999999999996
1,-142.6000000000009
1,-101.10000000000035
1,-39.299999999999926
1,-40.79999999999992
1,-17.400000000000002
1,-82.00000000000009
1,-19.299999999999997
1,-20.299999999999994
