Episode: 1/10000, Total Frames: 357, Tiles Visited: 12, Total Rewards: -142.0000000000009, Epsilon: 0.99, Policy: SAFE
Episode: 2/10000, Total Frames: 390, Tiles Visited: 3, Total Rewards: -154.60000000000107, Epsilon: 0.98, Policy: RISK
Episode: 3/10000, Total Frames: 452, Tiles Visited: 12, Total Rewards: -179.90000000000148, Epsilon: 0.97, Policy: SAFE
Episode: 4/10000, Total Frames: 397, Tiles Visited: 3, Total Rewards: -157.60000000000116, Epsilon: 0.96, Policy: RISK
Episode: 5/10000, Total Frames: 457, Tiles Visited: 12, Total Rewards: -182.1000000000015, Epsilon: 0.95, Policy: SAFE
Episode: 6/10000, Total Frames: 392, Tiles Visited: 3, Total Rewards: -156.0000000000011, Epsilon: 0.94, Policy: RISK
Episode: 7/10000, Total Frames: 356, Tiles Visited: 12, Total Rewards: -141.5000000000009, Epsilon: 0.93, Policy: SAFE
Episode: 8/10000, Total Frames: 442, Tiles Visited: 3, Total Rewards: -175.80000000000138, Epsilon: 0.92, Policy: RISK
Episode: 9/10000, Total Frames: 416, Tiles Visited: 12, Total Rewards: -165.50000000000125, Epsilon: 0.91, Policy: SAFE
Episode: 10/10000, Total Frames: 353, Tiles Visited: 3, Total Rewards: -139.70000000000087, Epsilon: 0.91, Policy: RISK
Episode: 11/10000, Total Frames: 219, Tiles Visited: 12, Total Rewards: -86.70000000000016, Epsilon: 0.9, Policy: SAFE
Episode: 12/10000, Total Frames: 326, Tiles Visited: 3, Total Rewards: -129.40000000000074, Epsilon: 0.89, Policy: RISK
Episode: 13/10000, Total Frames: 490, Tiles Visited: 12, Total Rewards: -194.80000000000166, Epsilon: 0.88, Policy: SAFE
Episode: 14/10000, Total Frames: 453, Tiles Visited: 3, Total Rewards: -180.10000000000147, Epsilon: 0.87, Policy: RISK
Episode: 15/10000, Total Frames: 260, Tiles Visited: 12, Total Rewards: -103.20000000000039, Epsilon: 0.87, Policy: SAFE
Episode: 16/10000, Total Frames: 386, Tiles Visited: 3, Total Rewards: -153.50000000000108, Epsilon: 0.86, Policy: RISK
Episode: 17/10000, Total Frames: 286, Tiles Visited: 12, Total Rewards: -113.20000000000053, Epsilon: 0.85, Policy: SAFE
Episode: 18/10000, Total Frames: 287, Tiles Visited: 3, Total Rewards: -113.60000000000053, Epsilon: 0.85, Policy: RISK
Episode: 19/10000, Total Frames: 334, Tiles Visited: 12, Total Rewards: -132.6000000000008, Epsilon: 0.84, Policy: SAFE
